,applNum,displayId,filingDate,inventionTitle,issueDate,patAssigneeName,patAssignorExDate,patAssignorName,patNum
0,15050983,037826-0237,2016-02-23T04:00:00Z,SYSTEMS AND METHODS FOR APPLYING A CONVOLUTIONAL NETWORK TO SPATIAL DATA,2016-06-21T04:00:00Z,ATOMWISE INC.,2016-02-24T04:00:00Z,"HEIFETS, ABRAHAM SAMUEL",9373059
1,15187018,038959-0176,2016-06-20T04:00:00Z,SYSTEMS AND METHODS FOR APPLYING A CONVOLUTIONAL NETWORK TO SPATIAL DATA,2018-06-19T04:00:00Z,ATOMWISE INC.,2016-02-24T04:00:00Z,"HEIFETS, ABRAHAM SAMUEL",10002312
2,16011373,046123-0140,2018-06-18T05:00:00Z,SYSTEMS AND METHODS FOR APPLYING A CONVOLUTIONAL NETWORK TO SPATIAL DATA,2019-11-19T05:00:00Z,ATOMWISE INC.,2016-02-24T05:00:00Z,"HEIFETS, ABRAHAM SAMUEL",10482355
3,15473980,041796-0426,2017-03-30T04:00:00Z,SYSTEMS AND METHODS FOR CORRECTING ERROR IN A FIRST CLASSIFIER BY EVALUATING CLASSIFIER OUTPUT IN PARALLEL,0001-01-01T00:00:00Z,ATOMWISE INC.,2017-03-29T04:00:00Z,"HEIFETS, ABRAHAM SAMUEL",NULL
